date,location,url,image_file,detected_faces,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,emotion_value
2/9/2020,IUB,https://www.idsnews.com/article/2020/02/the-general-comes-home-bob-knight-indiana-mens-basketball-hoosiers,IUB_02092020_1650.png,2,"['surprise', 'disgust']","[1.923871785402298, 0.47655075834994065]","[0.0017562271750648506, 70.77572767589854]","[0.7819151505827904, 23.985044597687995]","[0.909559428691864, 0.0005716904865642462]","[0.8683145977556705, 0.32361654630998055]","[92.54151582717896, 4.404951149520347]","[2.9730716720223427, 0.033538729438072706]",1.2236587032688209
2/5/2020,IUB,https://www.idsnews.com/article/2020/02/bloomington-man-18-charged-with-raping-woman-he-met-on-tinder,IUB_02052020_1651.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
1/31/2020,IUB,https://www.idsnews.com/article/2020/01/opinion-indianas-children-have-no-place-in-a-legal-system-built-for-adults,IUB_01312020_1652.png,1,['happy'],[9.301795671490254e-05],[6.408635289112397e-08],[0.0881689484231174],[99.81256127357483],[0.006004837268847041],[0.0006237106390472036],[0.09255009354092181],3.990578334275238
1/27/2020,IUB,https://www.idsnews.com/article/2020/01/iu-student-reportedly-raped-at-union-street-center-apartments,IUB_01272020_1653.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
1/9/2020,IUB,https://www.idsnews.com/article/2020/01/bloomington-police-department-uses-social-media-to-identify-suspects,IUB_01092020_1654.png,0,,,,,,,,,
12/7/2021,IUB,https://www.idsnews.com/article/2021/12/delta-upsilon-september-rape-reported,IUB_12072021_1655.png,1,['neutral'],[0.00475864508189261],[1.7093581758387266e-09],[8.160719275474548],[1.9421564415097237],[0.6756763905286789],[0.026794333825819194],[89.18989300727844],-0.10512174245367123
11/29/2021,IUB,https://www.idsnews.com/article/2021/11/pddailyrundown112921,IUB_11292021_1656.png,0,,,,,,,,,
11/11/2021,IUB,https://www.idsnews.com/article/2021/11/septemeber-rape-reported-at-briscoe-quadrangle,IUB_11112021_1661.png,1,['neutral'],[0.00475864508189261],[1.7093581758387266e-09],[8.160719275474548],[1.9421564415097237],[0.6756763905286789],[0.026794333825819194],[89.18989300727844],-0.10512174245367123
9/15/2021,IUB,https://www.idsnews.com/article/2021/09/entmynonexistence091521-61429623d665b,IUB_09152021_1662.png,0,,,,,,,,,
9/13/2021,IUB,https://www.idsnews.com/article/2021/09/iu-students-express-concern-texas-abortion-law-passes,IUB_09132021_1663.png,0,,,,,,,,,
4/26/2021,IUB,https://www.idsnews.com/article/2021/04/us-history-slavery-civil-rights-racism-black-panther,IUB_04262021_1664.png,2,"['angry', 'happy']","[84.4840219309343, 3.5229842154649305e-06]","[0.0017478293689653088, 1.5276451978407657e-10]","[0.6713880160533199, 0.08189735817722976]","[4.60281582527399e-06, 99.81105327606201]","[14.818706501645238, 0.08038964006118476]","[1.2394289889320755e-06, 0.0003122429916402325]","[0.024132135132752964, 0.026346309459768236]",0.0752983963694751
3/3/2021,IUB,https://www.idsnews.com/article/2021/03/iu-phi-kappa-psi-fraternity-sexual-battery,IUB_03032021_1665.png,0,,,,,,,,,
3/1/2021,IUB,https://www.idsnews.com/article/2021/03/iu-phi-kappa-psi-fraternity-rape-investigation,IUB_03012021_1666.png,0,,,,,,,,,
1/21/2021,IUB,https://www.idsnews.com/article/2021/01/black-voices-bridgerton-review,IUB_01212021_1667.png,0,,,,,,,,,
10/18/2011,IUB,https://www.idsnews.com/article/2011/10/abraham-lincolns-big-gay-dance-party-fills-the-stage,IUB_10182011_1670.png,1,['happy'],[0.006746589497197419],[0.005773685916210525],[0.19885252695530653],[69.10020112991333],[1.014707051217556],[0.1408830052241683],[29.532840847969055],2.7345900159056
10/4/2011,IUB,https://www.idsnews.com/article/2011/10/take-back-the-night-raises-awareness-about-sexual-domestic-violence,IUB_10042011_1671.png,0,,,,,,,,,
6/2/2011,IUB,https://www.idsnews.com/article/2011/06/feeling-under-the-weather-ius-health-center-has-the-fix,IUB_06022011_1673.png,0,,,,,,,,,
4/21/2011,IUB,https://www.idsnews.com/article/2011/04/local-artist-student-finds-healing-through-candy-coated-chaos,IUB_04212011_1674.png,3,"['neutral', 'fear']","[0.0002510546437406447, 0.03668430654592404]","[2.7391102603508053e-24, 0.011479524211901753]","[6.463365953557343e-08, 99.18097252732352]","[0.002624815715535078, 0.009606972734766319]","[0.00573339857510291, 0.6808466683832806]","[4.76534887938751e-09, 0.00035066957296428985]","[99.99139308929443, 0.08005635358729085]",-1.0027175147909264
4/12/2011,IUB,https://www.idsnews.com/article/2011/04/staff-editorial-do-pedophiles-deserve-free-speech-rights,IUB_04122011_1676.png,1,['neutral'],[4.196201559510983e-12],[1.1787460668662666e-25],[0.03874289686791599],[5.326631063312659e-11],[0.0034035154385492206],[5.800536717615046e-08],[99.95785355567932],-0.0008779924466520169
,IUB,https://www.idsnews.com/article/2011/01/hate-american-style-manifested-in-uganda,IUB_nan_1678.png,0,,,,,,,,,
1/23/2011,IUB,https://www.idsnews.com/article/2011/01/glbt-office-sponsors-film-on-bullying,IUB_01232011_1679.png,1,['neutral'],[0.07964613507255226],[8.661964440199371e-08],[0.16077519188598943],[0.315991505257279],[0.1047172296809989],[0.009748885930915083],[99.32911988074302],0.003455016156436745
11/1/2012,IUB,https://www.idsnews.com/article/2012/11/iu-theatre-to-perform-controversial-rock-musical,IUB_11012012_1682.png,4,['sad'],[0.5327164957414274],[9.305832150190298e-05],[10.384578509977041],[0.06237291220227931],[83.65133003576636],[0.0093274585901157],[5.359583826710722],-2.7610219347433342
10/30/2012,IUB,https://www.idsnews.com/article/2012/10/iusecrets-collects-students-thoughts,IUB_10302012_1683.png,0,,,,,,,,,
6/7/2012,IUB,https://www.idsnews.com/article/2012/06/feeling-under-the-weather-ius-health-center-has-the-fix,IUB_06072012_1691.png,0,,,,,,,,,
2/7/2013,IUB,https://www.idsnews.com/article/2013/02/one-more-for-the-ladies-the-return-of-the-female-mc,IUB_02072013_1704.png,1,['sad'],[36.06044054031372],[0.005462802073452622],[5.980260297656059],[0.05826682900078595],[46.05346918106079],[2.080281637609005],[9.76182222366333],-2.8720951890753703
9/30/2014,IUB,https://www.idsnews.com/article/2014/09/wheres-amy,IUB_09302014_1710.png,0,,,,,,,,,
9/28/2014,IUB,https://www.idsnews.com/article/2014/09/op-communication-breakdown,IUB_09282014_1711.png,0,,,,,,,,,
9/8/2014,IUB,https://www.idsnews.com/article/2014/09/ncaa-restores-penn-state-postseason-eligbility,IUB_09082014_1712.png,0,,,,,,,,,
7/13/2014,IUB,https://www.idsnews.com/article/2014/07/new-pope-new-hope,IUB_07132014_1713.png,2,"['neutral', 'fear']","[0.0008870643415636084, 0.1481577754020691]","[1.5886690019474418e-12, 8.975422360890661e-06]","[1.4251780614362992, 61.24826669692993]","[0.0051601098113432785, 0.06090951501391828]","[2.1458124158270606, 1.9305219873785973]","[0.025666579387766383, 34.10748243331909]","[96.39729835970988, 2.504654973745346]",0.03540966228149467
5/14/2014,IUB,https://www.idsnews.com/article/2014/05/9th-annual-juried-art-show-opens,IUB_05142014_1715.png,0,,,,,,,,,
3/27/2014,IUB,https://www.idsnews.com/article/2014/03/city-urged-to-open-low-barrier-shelter,IUB_03272014_1719.png,0,,,,,,,,,
2/20/2014,IUB,https://www.idsnews.com/article/2014/02/about-last-night,IUB_02202014_1723.png,7,"['sad', 'happy', 'sad', 'happy', 'surprise', 'happy']","[0.8250957898966891, 0.5833302158862352, 0.00033357514439558145, 0.20125678203919148, 0.9690675884485245, 0.1722554196830344]","[9.852935306449494e-05, 0.000729618705008761, 1.435426713405105e-13, 2.8713554330767697e-06, 3.8981773364810124e-07, 1.2270702963477595e-07]","[1.2814018372717806, 0.535612041130662, 3.1036054715514183, 0.005405088169522318, 11.177583783864975, 0.5179704010021926]","[0.10932259819464651, 94.2588746547699, 2.9329926931609407e-06, 99.79171159366231, 22.606410086154938, 93.35848649492779]","[84.48819836763114, 2.8265919536352158, 96.8960165977478, 0.0015680097880957156, 7.251326739788055, 0.09514149263413206]","[8.016370726256915e-05, 0.05815441836602986, 5.201412564548313e-09, 7.391317787112434e-07, 51.76851153373718, 5.84379655681828]","[13.295809321846244, 1.7367096617817879, 4.006053870853066e-05, 4.963540595252932e-05, 6.2271032482385635, 0.012347187302280205]",0.47730738708153503
1/21/2014,IUB,https://www.idsnews.com/article/2014/01/event-raises-awareness-of-sexual-violence,IUB_01212014_1726.png,1,['fear'],[12.41956278681755],[0.004254990562913008],[62.08345890045166],[0.03321711265016347],[23.63847643136978],[0.00015857525568208075],[1.8208730965852737],-2.4534766794883964
10/22/2015,IUB,https://www.idsnews.com/article/2015/10/editorial-the-moonlite-bunny-ranch-brothel-appeals-to-women-as-a-solution-to-student-debts,IUB_10222015_1730.png,0,,,,,,,,,
9/22/2015,IUB,https://www.idsnews.com/article/2015/09/editorial-a-modern-man-of-god,IUB_09222015_1731.png,1,['happy'],[0.03399633683872513],[1.7252981700618735e-10],[0.0008528496544247081],[99.8989283918057],[8.425016498480329e-05],[0.05967376766562672],[0.006463949873471245],3.9969646228751876
8/20/2015,IUB,https://www.idsnews.com/article/2015/08/editorial-jared-fogles-unquenchable-appetite,IUB_08202015_1732.png,0,,,,,,,,,
4/21/2015,IUB,https://www.idsnews.com/article/2015/04/iudance,IUB_04212015_1735.png,0,,,,,,,,,
3/25/2015,IUB,https://www.idsnews.com/article/2015/03/editorial-serious-talk-about-porn,IUB_03252015_1736.png,1,['sad'],[19.57777887582779],[6.423750964699824e-15],[0.37459684535861015],[0.10074650635942817],[78.53362560272217],[1.4090613462030888],[0.004187464946880937],-3.1100176142839095
3/22/2015,IUB,https://www.idsnews.com/article/2015/03/unfazed-by-the-haze,IUB_03222015_1737.png,0,,,,,,,,,
2/16/2015,IUB,https://www.idsnews.com/article/2015/02/banners-bring-awareness-to-teen-dating-violence,IUB_02162015_1739.png,0,,,,,,,,,
1/21/2015,IUB,https://www.idsnews.com/article/2015/01/looking-at-what-the-paterno-decision-means,IUB_01212015_1741.png,2,"['disgust', 'happy']","[30.46683669090271, 0.000493246170663042]","[67.35478639602661, 4.955906019767087e-11]","[1.6336709260940552, 4.575031326004009e-09]","[0.0036153640394331887, 99.99949932098389]","[0.26684957556426525, 2.2003157074124147e-07]","[0.1867508632130921, 1.0409878514749948e-08]","[0.08748321561142802, 7.707772908815969e-06]",1.0372344532374744
